1970,Simon & Garfunkel,Bridge Over Troubled Water,6l8EbYRtQMgKOyc1gcDHF9
1970,Carpenters,(They Long To Be) Close To You,2kyVQg00pphEufGT59M2XH
1970,The Guess Who,American Woman/No Sugar Tonight,3IKKYL04z4713tDWl9KejG
1970,B.J. Thomas,Raindrops Keep Fallin' On My Head,0zRtBDhwtIFTfoK2HuURbM
1970,Edwin Starr,War,4ZEEcEMGjkWOfZNBcIB9yE
1970,Diana Ross,Ain't No Mountain High Enough,1KbuhBnzMHp4eq1q6flhWd
1970,Jackson 5,I'll Be There,2KNmMkQ0mVS46W5xTXTux7
1970,Rare Earth,Get Ready,6pN3ra1mEPtjFsdCvDDHW3
1970,The Beatles,Let It Be,7iN1s7xHE4ifF5povM6A48
1970,Freda Payne,Band Of Gold,0F0eLfczBlvrw17ZBI9nQe
1970,Three Dog Night,Mama Told Me (Not To Come),1k2LdJOaBi3qaLWczyy7XR
1970,Ray Stevens,Everything Is Beautiful,5EycYDoV2hBIgLI2heHA3l
1970,Bread,Make It With You,7wWw7hBmErNg9u5w6Xx0vy
1970,Vanity Fare,Hitchin' A Ride,1d3nxjsN3bBl4bP2UPuVl8
1970,Jackson 5,ABC,01JanIyZZGD65AEo0LWJt4
1970,Neil Diamond,Cracklin' Rosie,5pkd9ib1RgbkAd1R9bIOCa
1970,Dawn,Candida,1QdrUOQkbXJbpNqOKgJpq5
1970,Norman Greenbaum,Spirit In The Sky,0jvN7eQJJt4nxQzgQfZ1SP
1970,Melanie with The Edwin Hawkins Singers,Lay Down (Candles In The Rain),4sgi8qA5ojdN2sMjIEZoLw
1970,The Temptations,Ball Of Confusion (That's What The World Is Today),6SN51pk4UOfKa9Q9DoXEtF
1970,Free,All Right Now,6gr3bWbQA358nj7W0sI3xK
1970,Jackson 5,I Want You Back,5LxvwujISqiB8vpRYv887S
1970,Bobby Sherman,Julie, Do Ya Love Me,41Al942aUUeiSFlIsiWRa2
1970,Sugarloaf,Green-Eyed Lady,7z46eUuJdig9Zcfc8QXzQc
1970,Blues Image,Ride Captain Ride,1d9hUvkv64Wmdu671Dydpc
1970,John Ono Lennon,Instant Karma (We All Shine On),2BkXpZSvPoUDMLI2Xw9kAL
1970,Clarence Carter,Patches,5vk9PL1tTyWrQY3TqRq2Rg
1970,Brook Benton,Rainy Night In Georgia,5P0TedkvD5BwLcRBlDSX9T
1970,Chairmen Of The Board,Give Me Just A Little More Time,15ETFlknFqYPZwBdzMwIPf
1970,Edison Lighthouse,Love Grows (Where My Rosemary Goes),5Ts1DYOuouQLgzTaisxWYh
1970,Anne Murray,SNOWBIRD,2ik5qJAcmrjbpON5QPxmRr
1970,Eddie Holman,Hey There Lonely Girl,1MI8aQJAoaYhIaVNz5giKB
1970,Badfinger,Come And Get It,0wb21I1NV5uVUolRXIqlJF
