0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,6l8EbYRtQMgKOyc1gcDHF9
0.528,0.233,8,-15.362,1,0.0346,0.726,0.000108,0.122,0.208,89.044,2kyVQg00pphEufGT59M2XH
0.426,0.502,3,-17.159,1,0.0636,0.649,0.000757,0.954,0.745,100.594,3IKKYL04z4713tDWl9KejG
0.519,0.446,5,-9.287,1,0.0388,0.813,0.000124,0.11,0.654,104.962,0zRtBDhwtIFTfoK2HuURbM
0.59,0.671,1,-12.484,1,0.154,0.0939,0,0.248,0.736,109.333,4ZEEcEMGjkWOfZNBcIB9yE
0.393,0.792,8,-5.076,1,0.0448,0.191,0.00364,0.376,0.379,98.757,1KbuhBnzMHp4eq1q6flhWd
0.515,0.575,5,-5.653,1,0.0251,0.543,0,0.632,0.307,93.446,2KNmMkQ0mVS46W5xTXTux7
0.413,0.869,0,-5.843,1,0.0441,0.00283,0.529,0.827,0.65,127.355,6pN3ra1mEPtjFsdCvDDHW3
0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,7iN1s7xHE4ifF5povM6A48
0.647,0.704,11,-5.61,0,0.0373,0.0902,0,0.478,0.901,106.355,0F0eLfczBlvrw17ZBI9nQe
0.665,0.812,1,-8.557,1,0.0398,0.186,0.00298,0.245,0.781,120.408,1k2LdJOaBi3qaLWczyy7XR
0.324,0.472,0,-9.649,1,0.0377,0.486,0,0.0697,0.266,113.09,5EycYDoV2hBIgLI2heHA3l
0.629,0.356,4,-11.135,1,0.0246,0.66,0.000617,0.173,0.472,83.886,7wWw7hBmErNg9u5w6Xx0vy
0.735,0.727,0,-7.527,1,0.0282,0.0746,5.8e-05,0.101,0.511,137.034,1d3nxjsN3bBl4bP2UPuVl8
0.53,0.869,8,-6.029,1,0.0588,0.318,5.45e-05,0.233,0.935,187.93,01JanIyZZGD65AEo0LWJt4
0.562,0.503,1,-14.836,1,0.0335,0.319,0,0.163,0.846,127.827,5pkd9ib1RgbkAd1R9bIOCa
0.783,0.596,7,-10.056,1,0.0676,0.235,0,0.0427,0.88,127.576,1QdrUOQkbXJbpNqOKgJpq5
0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,0jvN7eQJJt4nxQzgQfZ1SP
0.353,0.683,7,-4.686,1,0.115,0.27,0.0187,0.253,0.525,172.203,4sgi8qA5ojdN2sMjIEZoLw
0.529,0.735,5,-8.153,1,0.0896,0.238,0,0.102,0.862,79.002,6SN51pk4UOfKa9Q9DoXEtF
0.634,0.681,2,-4.696,1,0.0397,0.0369,0,0.1,0.207,121.969,6gr3bWbQA358nj7W0sI3xK
0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,5LxvwujISqiB8vpRYv887S
0.62,0.57,7,-11.004,1,0.146,0.0742,0.185,0.109,0.878,151.996,7z46eUuJdig9Zcfc8QXzQc
0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,125.545,1d9hUvkv64Wmdu671Dydpc
0.628,0.931,9,-9.973,1,0.0968,0.000689,0.00146,0.0997,0.144,119.976,2BkXpZSvPoUDMLI2Xw9kAL
0.639,0.544,4,-12.843,1,0.141,0.617,0,0.479,0.793,80.844,5vk9PL1tTyWrQY3TqRq2Rg
0.318,0.309,7,-19.155,1,0.0419,0.524,0.0758,0.129,0.386,74.893,5P0TedkvD5BwLcRBlDSX9T
0.586,0.578,9,-6.926,0,0.0377,0.106,0,0.088,0.553,125.698,15ETFlknFqYPZwBdzMwIPf
0.568,0.824,9,-4.613,1,0.0299,0.403,0,0.0855,0.753,108.625,5Ts1DYOuouQLgzTaisxWYh
0.531,0.48,9,-10.633,1,0.0366,0.256,0.000136,0.0908,0.881,104.117,2ik5qJAcmrjbpON5QPxmRr
0.389,0.322,9,-10.923,1,0.0282,0.693,2.08e-06,0.0814,0.343,94.007,1MI8aQJAoaYhIaVNz5giKB
0.616,0.629,8,-6.9,1,0.0263,0.0285,1.32e-06,0.208,0.606,94.004,0wb21I1NV5uVUolRXIqlJF
0.805,0.535,1,-10.597,1,0.0291,0.216,2.51e-06,0.106,0.968,114.82,2X0LKiH4FYW0FIM16dDzrm
0.754,0.449,4,-14.013,1,0.0615,0.724,0,0.162,0.973,82.751,3RNyGLgSvmVRZ7xKUp8Wgd
0.481,0.629,8,-11.169,1,0.0355,0.0364,0.000273,0.393,0.66,87.679,4DaU475C0Y9Dxevsxk7ddf
0.434,0.676,6,-9.68,1,0.0428,0.534,7.04e-05,0.334,0.76,100.042,6WkSI65IeEjIZenpmsGBqZ
0.515,0.532,10,-12.472,1,0.0245,0.355,0.000711,0.498,0.961,94.165,5feUxmo1qphxusEo1N9GRt
0.619,0.773,8,-7.345,1,0.063,0.129,0.0487,0.519,0.722,124.78,14vDlv40PzpXKBo6qmht6M
0.254,0.761,7,-3.744,1,0.0472,0.0006,0.0004,0.265,0.412,118.752,6DU7X9yhp4xgkhNHJxgEOZ
0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,7GqIDx2QVGOpd4r1fZaUUW
0.685,0.743,10,-12.346,1,0.0546,0.614,0,0.0815,0.714,132.083,58uiNKZ1w4B89gHRfRLeJJ
0.443,0.478,5,-13.476,1,0.0266,0.0454,0,0.39,0.692,82.148,7zprGKxSOueSzoB4qjgM4U
0.373,0.287,9,-13.461,1,0.0306,0.749,9.41e-06,0.102,0.317,86.467,7nXZCcFAy1oCKQG2SqLszv
0.479,0.453,3,-12.806,1,0.0472,0.225,0.00038,0.143,0.756,81.18,2RtmMC4btQbvQ9w5KxPZpy
0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,1oht5GevPN9t1T3kG1m1GO
0.633,0.684,5,-10.547,1,0.0514,0.0929,0.000119,0.0478,0.757,90.865,59o0HNLC4y1RLVwuOoWtsg
0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,5tmrnhMxx39jnu3kjopMdP
0.477,0.693,0,-6.348,1,0.0351,0.323,2.13e-06,0.192,0.593,127.555,29HbvYjzl95cYA4wGIhFCd
0.589,0.468,5,-9.242,1,0.0277,0.659,4.5e-06,0.132,0.551,133.979,2mGJMdakHHtxIBbfigtiQD
